******** Attack No: 15001 ******
[1, 2, 3, 244, 247, 6, 7, 8, 9, 15001]
[859, 11, 349, 418, 14, 621, 135, 173, 18, 15001]
[29, 20, 21, 22, 23, 734, 25, 26, 27, 15001]
[28, 29, 217, 874, 276, 30, 57, 35, 709, 15001]
******** Attack No: 15002 ******
[217, 38, 154, 629, 590, 42, 152, 44, 247, 15002]
[135, 47, 48, 709, 132, 51, 52, 53, 882, 15002]
[874, 56, 57, 244, 59, 440, 349, 603, 63, 15002]
[64, 310, 155, 734, 710, 69, 418, 110, 30, 15002]
******** Attack No: 15003 ******
[152, 725, 75, 76, 247, 238, 79, 80, 81, 15003]
[29, 83, 307, 315, 710, 459, 88, 89, 90, 15003]
[859, 92, 874, 94, 713, 135, 895, 217, 634, 15003]
[100, 244, 102, 431, 104, 709, 174, 463, 734, 15003]
******** Attack No: 15004 ******
[109, 110, 135, 734, 155, 114, 115, 116, 117, 15004]
[118, 709, 244, 132, 307, 247, 124, 621, 425, 15004]
[315, 128, 129, 276, 131, 29, 463, 217, 135, 15004]
[136, 353, 138, 30, 38, 872, 874, 143, 895, 15004]
******** Attack No: 15005 ******
[349, 894, 147, 155, 368, 150, 151, 217, 709, 15005]
[154, 155, 621, 157, 259, 459, 160, 874, 88, 15005]
[734, 164, 425, 270, 247, 135, 710, 174, 859, 15005]
[431, 173, 174, 175, 244, 337, 178, 179, 180, 15005]
******** Attack No: 15006 ******
[181, 121, 183, 155, 872, 57, 187, 154, 30, 15006]
[135, 710, 874, 193, 459, 195, 463, 174, 709, 15006]
[315, 590, 201, 202, 203, 734, 217, 206, 207, 15006]
[164, 209, 210, 211, 247, 213, 244, 215, 216, 15006]
******** Attack No: 15007 ******
[217, 337, 205, 164, 368, 509, 443, 874, 173, 15007]
[722, 227, 734, 431, 135, 359, 315, 244, 132, 15007]
[438, 634, 237, 217, 353, 247, 110, 242, 270, 15007]
[244, 245, 709, 247, 248, 249, 250, 88, 285, 15007]
******** Attack No: 15008 ******
[152, 217, 359, 244, 725, 57, 710, 353, 247, 15008]
