,Attack,Index,Tactic,Technique,Technique Name
19,01,29,priority-definition-planning,PRE-T1007,Derive intelligence requirements
11,01,29,priority-definition-planning,PRE-T1001,Assess leadership areas of interest
18,01,29,priority-definition-planning,PRE-T1008,Create strategic plan
20,01,29,target-selection,PRE-T1018,Determine strategic target
23,01,29,adversary-opsec,PRE-T1096,Obfuscate or encrypt code
22,01,29,adversary-opsec,PRE-T1088,Dynamic DNS
10,01,29,adversary-opsec,PRE-T1085,Acquire and/or use 3rd party software services
15,01,29,adversary-opsec,PRE-T1089,Compromise 3rd party infrastructure to support delivery
26,01,29,establish-&-maintain-infrastructure,PRE-T1112,Procure required equipment and software
21,01,29,establish-&-maintain-infrastructure,PRE-T1103,Domain registration hijacking
16,01,29,establish-&-maintain-infrastructure,PRE-T1111,Compromise 3rd party infrastructure to support delivery
14,01,29,persona-development,PRE-T1118,Build social network persona
25,01,29,build-capabilities,PRE-T1130,Post compromise tool development
24,01,29,build-capabilities,PRE-T1123,Obtain/re-use payloads
13,01,29,build-capabilities,PRE-T1124,Build and configure delivery systems
27,01,29,launch,PRE-T1144,Spear phishing messages with malicious attachments
29,01,29,launch,PRE-T1143,Targeted social media phishing
28,01,29,launch,PRE-T1146,Spear phishing messages with malicious links
17,01,29,compromise,PRE-T1160,Confirmation of launched compromise achieved
12,01,29,compromise,PRE-T1163,Authorized user performs requested cyber action
9,01,29,execution,T1064,Scripting
0,01,29,execution,T1059,Command-Line Interface
8,01,29,defense-evasion,T1064,Scripting
5,01,29,defense-evasion,T1036,Masquerading
1,01,29,credential-access,T1003,Credential Dumping
7,01,29,lateral-movement,T1076,Remote Desktop Protocol
6,01,29,lateral-movement,T1075,Pass the Hash
4,01,29,collection,T1114,Email Collection
3,01,29,collection,T1005,Data from Local System
2,01,29,exfiltration,T1002,Data Compressed
