,Attack,Index,Tactic,Technique,Technique Name
14,37,17,initial-access,T1193,Spearphishing Attachment
7,37,17,initial-access,T1189,Drive-by Compromise
8,37,17,execution,T1173,Dynamic Data Exchange
15,37,17,execution,T1204,User Execution
2,37,17,execution,T1059,Command-Line Interface
9,37,17,execution,T1203,Exploitation for Client Execution
11,37,17,persistence,T1060,Registry Run Keys / Start Folder
10,37,17,defense-evasion,T1107,File Deletion
17,37,17,defense-evasion,T1102,Web Service
1,37,17,defense-evasion,T1116,Code Signing
4,37,17,credential-access,T1003,Credential Dumping
13,37,17,lateral-movement,T1105,Remote File Copy
6,37,17,collection,T1005,Data from Local System
0,37,17,collection,T1123,Audio Capture
5,37,17,command-and-control,T1094,Custom Command and Control Protocol
12,37,17,command-and-control,T1105,Remote File Copy
3,37,17,command-and-control,T1043,Commonly Used Port
16,37,17,command-and-control,T1102,Web Service
